timestamp,FrontAPP,nativeHeapFreeSize,usedNativeMemPercent,FrontAPPJavaHeap,FrontAPPNativeHeap,FrontAPPCodeMem,FrontAPPStackMem,FrontAPPGraphicsMem,FrontAPPPrivateOtherMem,FrontAPPSystemMem,GPU missed,HWC missed,Total missed,TotalFrames,MissedVsync,JankyNum,tempCPU0,tempCPU1,tempCPU2,tempCPU3,tempCPU4,tempCPU5,tempCPU6,tempCPU7,batteryTemp,thermalStatus,MemFree,MemAvailable,MemTotal,threshold,LowMemory,gpuUsage,GpuFreq,cpu0Freq,cpu1Freq,cpu2Freq,cpu3Freq,cpu4Freq,cpu5Freq,cpu6Freq,cpu7Freq,cpuUsage,FrontAppCpuUsage,wifiRssi,wifiSpeed,FPS
1680144617,com.ss.android.ugc.aweme,12904,0.922693505871076,26876,30572,313876,2124,292996,19916,140884,0,0,0,306,31,41,68.3,65.9,63.3,66.9,71.3,71.9,72.6,73.3,35.7,0,1338072,6756344,11532144,226492416,false,.665,491000000,1804800,1804800,1804800,1804800,2419200,2419200,1996800,844800,0.5803684879288438,null,-44,1200,null
1680144627,com.ss.android.ugc.aweme,7557,0.9627623928254656,185644,172020,336236,7568,169416,36204,24720,0,0,0,542,11,18,66.9,66.6,65.3,64.6,63.9,62.6,68.3,68.6,35.9,0,1066052,6925136,11532144,226492416,false,.845,840000000,1804800,1804800,1804800,1804800,710400,1555200,2112000,844800,0.4234199796126402,0.7937054026503568,-44,1200,null
1680144637,com.ss.android.ugc.aweme,11279,0.9459993871727598,180588,174380,338216,7840,297016,36764,25877,0,0,0,533,12,27,71.6,70.3,68.3,69.9,71.3,73.9,76.3,71.9,36.4,0,1026688,6673752,11532144,226492416,false,.801,778000000,1804800,1804800,1708800,1708800,1209600,1075200,2419200,844800,0.39693575383030766,0.1986610016737479,-44,1200,null
1680144647,com.ss.android.ugc.aweme,12497,0.9389353634462404,190728,180396,338928,7944,228284,33296,26678,0,0,0,527,7,21,70.9,70.6,68.6,68.6,67.9,68.6,71.9,73.9,36.8,0,980356,6751180,11532144,226492416,false,.814,778000000,1804800,1804800,1804800,1804800,710400,2419200,2419200,844800,0.41158156911581567,0.20298879202988793,-44,1200,null
1680144657,com.ss.android.ugc.aweme,16981,0.9159289844740177,170024,173580,339380,8104,180716,33760,27355,0,0,0,522,10,18,71.9,70.6,68.9,71.3,72.9,69.3,72.6,71.6,37.4,0,974700,6790300,11532144,226492416,false,.817,778000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,844800,0.4048131728942369,0.20215326155794808,-44,1200,null
1680144667,com.ss.android.ugc.aweme,16339,0.9210203213519209,125336,179944,339848,8108,227944,33964,27956,0,0,0,497,16,21,72.3,70.9,69.3,70.3,69.6,69.6,73.6,74.6,37.9,0,985492,6713848,11532144,226492416,false,.807,778000000,1804800,1804800,1804800,1804800,2419200,2419200,2419200,2592000,0.3995395830668883,0.19925821716332012,-44,1200,null
1680144677,com.ss.android.ugc.aweme,16441,0.9238433603231365,136736,187028,339980,8124,186180,33976,28479,0,0,0,503,9,19,74.9,72.9,70.9,72.9,74.9,75.3,81.6,83.3,38.3,3,929988,6664696,11532144,226492416,false,.833,840000000,1804800,1708800,1804800,1804800,1555200,2342400,2419200,844800,0.40112632791501346,0.20094713938307948,-44,1200,null
1680144687,com.ss.android.ugc.aweme,20561,0.9062648163682119,121812,190716,340380,8192,214272,35316,29061,0,0,0,511,12,21,72.6,71.9,70.6,70.6,69.3,69.6,73.9,75.9,38.8,3,908016,6671132,11532144,226492416,false,.831,778000000,1804800,1804800,1804800,1804800,2419200,2419200,2342400,2592000,0.41443715295305406,0.20431600201918224,-44,1200,null
1680144697,com.ss.android.ugc.aweme,25042,0.8882991061073742,126640,189964,340452,8156,194424,35412,29483,0,1,1,522,11,19,73.9,72.9,71.3,72.3,72.3,72.3,75.6,76.9,39.2,3,860088,6659404,11532144,226492416,false,.815,778000000,1804800,1804800,1804800,1804800,710400,710400,2419200,844800,0.40912576687116564,0.2037321063394683,-44,1200,null
1680144707,com.ss.android.ugc.aweme,22372,0.9007611916464097,137976,191976,340660,8272,227232,35620,29951,0,1,1,514,10,17,75.6,74.3,71.6,73.9,76.9,76.3,78.3,74.3,39.7,3,818264,6661400,11532144,226492416,false,.846,778000000,1804800,1804800,1804800,1804800,2342400,2342400,2342400,844800,0.42406692406692403,0.22007722007722008,-44,1200,null
